     name      |  count  |  id   
---------------+---------+-------
 MEHMET        | 1172984 | 57101
 FATMA         | 1154754 | 57119
 MUSTAFA       |  898672 | 57100
 AYSE          |  893053 | 57099
 EMINE         |  756675 | 57117
 AHMET         |  719391 | 57104
 ALI           |  663136 | 57126
 HATICE        |  659000 | 57123
 HUSEYIN       |  521240 | 57127
 HASAN         |  487906 | 57087
 MURAT         |  403178 | 57163
 IBRAHIM       |  398227 | 57327
 ISMAIL        |  382180 | 57080
 ZEYNEP        |  315503 | 57198
 OSMAN         |  282864 | 57162
 RAMAZAN       |  278871 | 57131
 OMER          |  237691 | 57147
 YUSUF         |  230069 | 57093
 MERYEM        |  214980 | 57424
 ELIF          |  203564 | 57259
 HALIL         |  202452 | 57288
 SULEYMAN      |  201856 | 57207
 ABDULLAH      |  191442 | 57196
 SULTAN        |  176257 | 57110
 HULYA         |  166652 | 57528
 SEVIM         |  164108 | 57446
 SERIFE        |  158786 | 57355
 YASAR         |  158380 | 57182
 FADIME        |  158134 | 58069
 OZLEM         |  157432 | 57142
 RECEP         |  154335 | 57125
 MAHMUT        |  153632 | 57899
 FATIH         |  153269 | 57349
 AYSEL         |  152459 | 57397
 HANIFE        |  151906 | 57630
 METIN         |  145910 | 57218
 ADEM          |  144833 | 57186
 KEMAL         |  144556 | 57758
 YASEMIN       |  144369 | 57190
 DILEK         |  143430 | 57385
 HACER         |  143360 | 57563
 HAKAN         |  142126 | 57366
 HAVVA         |  139985 | 57238
 ZEHRA         |  136412 | 57084
 AYNUR         |  135295 | 57204
 LEYLA         |  134273 | 57159
 SONGUL        |  131280 | 57601
 KADIR         |  128272 | 57337
 ZELIHA        |  127755 | 57595
 SALIH         |  127378 | 57598
 ORHAN         |  126791 | 57230
 FILIZ         |  122787 | 57221
 CEMILE        |  120529 | 57292
 KADRIYE       |  116785 | 57176
 MELEK         |  115155 | 57078
 SELMA         |  114419 | 57312
 AYTEN         |  114195 | 57227
 SERKAN        |  114108 | 57334
 BAYRAM        |  111945 | 57206
 SEVGI         |  111592 | 57225
 AYHAN         |  107619 | 57178
 MEHMET ALI    |  104433 | 57426
 GOKHAN        |  104307 | 57306
 YILMAZ        |  101327 | 57166
 TURKAN        |   99866 | 57577
 SEMRA         |   98577 | 57203
 SIBEL         |   98296 | 57455
 HAYRIYE       |   96260 | 57136
 YUKSEL        |   96127 | 57791
 HALIME        |   95179 | 57305
 DERYA         |   95167 | 57357
 SUKRAN        |   94347 | 57250
 SERPIL        |   93160 | 57245
 GULSUM        |   92620 | 57548
 BEKIR         |   92467 | 57430
 ARZU          |   92399 | 57364
 GULSEN        |   92208 | 57419
 ESRA          |   91547 | 57710
 EROL          |   91391 | 57088
 NURAY         |   91320 | 57321
 MUSA          |   91262 | 57121
 UGUR          |   91175 | 57390
 ERKAN         |   90385 | 57445
 BULENT        |   89200 | 57272
 ASIYE         |   88858 | 57557
 NURCAN        |   88663 | 57089
 CEMAL         |   88183 | 57145
 ISMET         |   86858 | 57172
 GULAY         |   86778 | 57215
 NURTEN        |   86719 | 57440
 DONDU         |   86447 | 57130
 ERCAN         |   86207 | 57720
